catalogId,name,category,atc5_code,atc5_name,package_moh,administrationNotes,alternativeMedications,atc5_system,contraindications,currency,form,ingredients,lastUpdated,manufacturer_country,manufacturer_name,manufacturers_administration_recommendation,max_price_with_vat,max_retail_price,max_wholesale_price,method,package_barcode,package_name,package_pharmasoft,package_superpharm,package_yarpa,packaging_description,quantity_unit,quantity_value,registrationNumber,registrationValidity,retail_margin,route,schema_version,shelf_life,sideEffect,site,snomed_ct_clinical_code,snomed_ct_clinical_name,snomed_ct_integration_code,snomed_ct_integration_name,status,storage_conditions,strength_unit,strength_value,termsOfIssue,treatmentDescriptions,warnings,filename
0005d4b7-3cd7-485a-9c11-a9ea83b8cdf3,ZAPPA 10,prescription,N05AH03,OLANZAPINE,6860,,,WHO ATC Classification,,ILS,film coated tablets,OLANZAPINE,2025-07-31T14:27:03.877Z,IL,אוניפארם,,94.16343655,79.7995225,59.3305,,,ZAPPA 5MG 30TAB,86148,,13466,BLISTER ALUMINIUM /ALUMINIUM,units,30,146 72 33251 01,valid,34.5,per os,1.4,30,,,,,,,active,,,0,Prescription required,Acute and maintenance treatment of Schizophrenia. Zappa is indicated for the management of the manifestations of psychotic disorders. Zappa is indicated for the short-term treatment of acute manic episodes associated with Bipolar I Disorder. Prevention of recurrence in Bipolar  Disorder: In patients whose manic episode has responded to Olanzapine treatment Zappa is indicated for the prevention of reccurence in patients with Bipolar Disorder. Combination therapy in Bipolar I Disorder: The combination of Zappa with lithium or valproate is indicated for the short-term treatment of acute manic episodes associated with Bipolar I Disorder.,תרופה מוגבלת לרישום ע'י רופא מומחה או הגבלה אחרת ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/0005d4b7-3cd7-485a-9c11-a9ea83b8cdf3.json
003aa28e-f07e-4710-8d15-6a6b4c2f5e75,TAMIFLU 30 MG,prescription,J05AH02,OSELTAMIVIR,4190,,,WHO ATC Classification,,ILS,capsules,OSELTAMIVIR AS PHOSPHATE,2025-07-31T09:03:42.677109,IL,רוש,,102.1923596,86.60369839,64.38936683,,7290008140911,TAMIFLU 75MG 10CAP,20106,,25258,BLISTER PVC/PE/PVDC,units,10.0,138 02 31733 00,valid,34.5,per os,1.4,120,,,,,,,,,,0,Prescription required,Treatment of influenza : Treatment of uncomplicated acute illness due to influenza infection in adults and children 1 year of age or older who have been symptomatic for no more than 2 days.  Prophylaxis of influenza : Post exposure prevention in adults and children 1 year of age or older patients following contact with a clinically diagnosed influenza case when influenza virus is circulating in the community.   The appropriate use of Tamiflu for prevention of influenza should be determined on a case by case basis by the circumstances and the population requiring protection. In exceptional situations (e.g. in case of a mismatch between the circulating and vaccine virus strains  and a pandemic situation) seasonal prevention could be considered in adults and children 1 year of age or older., ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/003aa28e-f07e-4710-8d15-6a6b4c2f5e75.json
0042d651-47fd-48d1-b135-59ced97b405b,DAPSONE 100MG 100TAB,29C,,,20060,,,,,,tablet,DAPSONE 100MG,2025-07-31T20:10:35.155649,IL,nan,,,,,,,DAPSONE 100MG 100TAB,,,,,units,100.0,,not-registered,,oral,1.4,,,,,,,,active,,,0,Available over-the-counter.,,,https://github.com/FormidableCare/OpenMed/tree/main/catalog/0042d651-47fd-48d1-b135-59ced97b405b.json
004a3ddc-48dc-4b3a-87bc-922aead77e7f,COSOPT,prescription,S01ED01,TIMOLOL,3827,,,WHO ATC Classification,,ILS,"eye drops, solution","DORZOLAMIDE AS HYDROCHLORIDE/ML, TIMOLOL AS MALEATE/ML",2025-07-31T01:31:52.045057,IL,רפא,,43.85463982,37.164949,27.1277,,7290004997892,COSOPT EYE DROPS 5ML,3577,,17675,DROPER BOTTLE HDPE,units,5.0,141 55 29511 01,valid,37.0,ocular,1.4,24,,,,,,,,,,0,Prescription required,"For the treatment of elevated intraocular pressure (IOP ) in patients with ocular hypertension, open-angle glaucoma, or other secondary open-angle glaucoma when concomitant therapy is appropriate.",תרופה מוגבלת לרישום ע'י רופא מומחה או הגבלה אחרת ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/004a3ddc-48dc-4b3a-87bc-922aead77e7f.json
005200b4-b3d4-4566-8783-5d1ec6fab36e,INVEGA 3 MG,prescription,N05AX13,PALIPERIDONE,6191,,,WHO ATC Classification,,ILS,tablets extended release,PALIPERIDONE,2025-07-31T04:11:13.617592,IL,יאנסן סילג,,273.1486652,231.48193,197.0058979,,7290008099356,INVEGA 9MG 28TAB,9292,,88019,BLISTER OPA/ALU/PVC/ALU,units,28.0,139 15 31639 01,valid,17.5,per os,1.4,24,,,,,,,,,,0,Prescription required,Invega is indicated for :-treatment of schizophrenia in adults and adolescents (12-17 years).-treatment of schizoaffective disorder in adults.,תרופה מוגבלת לרישום ע'י רופא מומחה או הגבלה אחרת ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/005200b4-b3d4-4566-8783-5d1ec6fab36e.json
005c8fcf-a0df-434c-af31-0378a2544730,CYCLOSERINE 250MG 100 CAP,29C,,,20347,,,,,,tablet,CYCLOSERINE 250MG 100 CAP,2025-07-31T20:08:46.134289,IL,nan,,,,,,,CYCLOSERINE 250MG 100 CAP,,,,,units,100.0,,not-registered,,oral,1.4,,,,,,,,active,,,0,Available over-the-counter.,,,https://github.com/FormidableCare/OpenMed/tree/main/catalog/005c8fcf-a0df-434c-af31-0378a2544730.json
00620ab3-8e48-40eb-9b2d-2964592f10b2,SANDOSTATIN ® 0.05 MG/ML,prescription,H01CB02,OCTREOTIDE,3721,,,WHO ATC Classification,,ILS,solution for injection / infusion,OCTREOTIDE 0.05  MG/ML,2025-07-31T07:59:46.119230,IL,נוברטיס פארמה,,1688.138922,1430.626269,1217.554271,,7298120012734,SANDOSTATIN LAR VIAL 10MG,19742,,62751,AMPOULES GLASS TYPE I,units,1.0,047 03 25697 00,valid,17.5,"s.c, i.v",1.4,36,,,,,,,,,,0,Prescription required,Prevention of complications following pancreatic surgery.   Symptomatic control and reduction of GH and IGF-1plasma levels in patients with acromegaly who are inadequately controlled by surgery  or radiotherapy. Sandostatin treatment is also indicated for acromegalic patients unfit or unwilling to undergo surgery  or in the interim period until radiotherapy becomes fully effective.   Relief of symptoms associated with functional gastroenteropancreatic endocrine tumours:   - Carcinoid tumours with features of the carcinoid syndrome    - VIPomas    - Glucagonomas    - Gastrinomas / zollinger-Ellison syndrome usually in conjunction with proton pump inhibitors  or H2- antagonist therapy    - Insulinomas  for pre-operative control of hypoglycaemia and for maintenance therapy   - GRFomas.   Sandostatin is not an antitumour therapy and is not curative in these patients.Emergency management of bleeding gastro-oesophageal varices secondary to cirrhosis in combination with specific therapy such as endoscopic sclerotherapy.,תרופה מוגבלת לרישום ע'י רופא מומחה או הגבלה אחרת ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/00620ab3-8e48-40eb-9b2d-2964592f10b2.json
00703a00-5643-432f-9256-e8ba4434c7d4,FENTORA ® 100 MCG,prescription,N01AH01,FENTANYL,7615,,,WHO ATC Classification,,ILS,tablets,FENTANYL AS CITRATE,2025-07-31T03:02:52.704989,IL,טבע,,654.576556,554.7259196,472.1071656,,,FENTORA 800MCG 28 BUCCAL TAB,6586,,76300,BLISTER PVC/ALU/POLYAMIDE/PVC,units,28.0,152 90 34050 00,valid,17.5,buccal,1.4,36,,,,,,,,,,0,Prescription required,"Fentora is indicated for the treatment of breakthrough pain (BTP) in adults with cancer who are already receiving maintenance opioid therapy for chronic cancer pain. BTP is a transitory exacerbation of pain that occurs on a background of otherwise controlled persistent pain.                                      Patients receiving maintenance opioid therapy are those who are taking at least 60 mg of oral morphine daily, at least 25 micrograms of transdermal fentanyl per hour, at least 30 mg of oxycodone daily, at least 8 mg of oral hydromorphone daily or an equianalgesic dose of another opioid for a week or longer",תרופה מוגבלת לרישום ע'י רופא מומחה או הגבלה אחרת ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/00703a00-5643-432f-9256-e8ba4434c7d4.json
007837f6-9648-4f23-8e99-0c269db77d28,DERMACOMBIN OINTMENT,prescription,D07CB01,TRIAMCINOLONE AND ANTIBIOTICS,2061,,,WHO ATC Classification,,ILS,ointment,"TRIAMCINOLONE ACETONIDE/G, NEOMYCIN AS SULFATE 2.5 MG/G, GRAMICIDIN 0.25 MG/G, NYSTATIN/G",2025-07-31T01:48:52.992219,IL,תרו,,nan,nan,nan,,7-290000-809120,DERMACOMBIN OINT 15G,4072,,637,TUBE ALUMINIUM,units,15.0,015 28 24536 00,valid,nan,dermal,1.4,36,,,,,,,,,,0,Prescription required,"For the relief of corticosteroid-responsive inflammatory or pruritic dermatoses caused, threatened or complicated by infection due to bacteria and/or candida",תרופה שאושרה לשימוש כללי בקופ'ח ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/007837f6-9648-4f23-8e99-0c269db77d28.json
0097dc09-6d38-48ee-8a4d-83b20028de0f,DESMOPRESSIN TEVA 0.1 MG,prescription,H01BA02,DESMOPRESSIN,6772,,,WHO ATC Classification,,ILS,tablets,DESMOPRESSIN ACETATE 0.1  MG,2025-07-31T01:51:25.468803,IL,טבע,,147.4123874,124.925752,92.8816,,7290102065516,DESMOPRESSIN TEVA 0.2MG 30TAB,4552,,30593,BLISTER OPA/AL/PVC,units,30.0,144 40 33065 00,valid,34.5,per os,1.4,24,,,,,,,,,,0,Prescription required,"Desmopressin teva tablets are indicated for central diabetes insipidus, nocturnal enuresis ( in patients from 5 years of age with normal ability to concentrate the urine) and for symptomatic treatment of nocturia in adults associated with nocturnal polyuria, i.e. nocturnal urine production exceeding bladder capacity. The treatment must be started befor the age of 65.",,https://github.com/FormidableCare/OpenMed/tree/main/catalog/0097dc09-6d38-48ee-8a4d-83b20028de0f.json
009e30e5-666c-4da7-aeb9-f657993bfdb7,RIXATHON,prescription,L01XC02,RITUXIMAB,8398,,,WHO ATC Classification,,ILS,concentrate for solution for infusion,RITUXIMAB/ML,2025-07-31T07:46:09.163065,IL,סנדוז,,3920.040699,3322.068537,3020.062306,,7290017585413,RIXATHON 500MG/50ML 1 VIAL,18600,,45466,VIAL GLASS TYPE I,units,1.0,162 10 35741 00,valid,10.0,i.v,1.4,36,,,,,,,,,,0,Prescription required,"Rixathon is indicated for the following indications: * Non-Hodgkin’s lymphoma (NHL): Rixathon is indicated for the treatment of patients with relapsed or refractory low-grade or follicular, B-cell non-hodgkin’s lymphoma. Rixathon is indicated for the treatment of previously untreated patients with low-grade or follicular lymphoma in combination with chemotherapy.Rixathon is indicated for the treatment of patients with CD20 positive diffuse large B-cell non-Hodgkin's lymphoma in combination with CHOP chemotherapy. Rixathon maintenance therapy is indicated for the treatment of follicular lymphoma patients responding to induction therapy.* Chronic lymphocytic leukaemia (CLL):  Rixathon in combination with chemotherapy is indicated for the treatment of patients with previously untreated and relapsed/refractory chronic lymphocytic leukaemia. Only limited data are available on efficacy and safety for patients previously treated with monoclonal antibodies including Rixathon or patients refractory to previous Rixathon plus chemotherapy.* Granulomatosis with polyangiitis and Microscopic polyangiitis: Rixathon, in combination with glucocorticoids, is indicated for the treatment of adult patients with Granulomatosis with polyangiitis (GPA) (Wegener’s Granulomatosis (WG) and Microscopic polyangiitis (MPA).*pemphigus vulgaris (PV):Rixathon is indicated for the treatment of adult patients with moderate to severe pemphigus vulgaris (PV).*Rheumatoid arthritis:Rixathon is indicated, in combination with methotrexate, to reduce signs and symptoms in adult patients with moderately to severely active rheumatoid arthritis who had an inadequate response or intolerance to one or more TNF antagonist therapies.",תרופה מוגבלת לרישום ע'י רופא מומחה או הגבלה אחרת ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/009e30e5-666c-4da7-aeb9-f657993bfdb7.json
00a52cea-8d0d-4aa5-9b75-e2e588b8b11a,OLANZAPINE TEVA ® 7.5 MG,prescription,N05AH03,OLANZAPINE,6816,,,WHO ATC Classification,,ILS,film coated tablets,OLANZAPINE 7.5  MG,2025-07-31T06:05:59.588436,IL,טבע,,236.5842475,200.495125,160.3961,,7290106064393,OLANZAPINE TEVA 7.5MG 56 F.C.TAB,15392,,2393,BLISTER PVC/OPA/AL,units,56.0,145 71 33187 01,valid,25.0,per os,1.4,24,,,,,,,,,,0,Prescription required,Acute and maintenance treatment of schizophrenia. Olanzapine Teva®  is indicated for the management of the manifestations of psychotic disorders. Olanzapine Teva® is indicated for the short-term treatment of acute manic episodes associated with Bipolar I Disorder.Prevention of recurrence in Bipolar Disorder: In patients whose manic episode has responded to olanzapine treatment Olanzapine Teva® is indicated for the prevention of recurrence in patients with Bipolar Disorder. Combination therapy in Bipolar I Disorder. The combination of Olanzapine Teva®  with lithium or valproate is indicated for the short-term treatment of acute manic episodes associated with Bipolar I Disorder.,תרופה מוגבלת לרישום ע'י רופא מומחה או הגבלה אחרת ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/00a52cea-8d0d-4aa5-9b75-e2e588b8b11a.json
00d77393-24cd-438d-86fc-1580902fce6a,ILOMEDINE AMP 0.5 ML,prescription,,,2802,,,,,ILS,injection,ILOMEDINE AMP 0.,2025-07-31T19:12:27.251509,IL,באייר,,464.8024585,393.9004061,335.2343881,,,ILOMEDINE AMP 0.5 ML,9059,,8878,,units,1.0,,not-registered,17.5,intramuscular,1.4,,,,,,,,active,,,0,Prescription required. Dispense according to physician instructions.,,,https://github.com/FormidableCare/OpenMed/tree/main/catalog/00d77393-24cd-438d-86fc-1580902fce6a.json
00e0e537-f647-4904-b62c-89c1877a08fa,GEODON IM 20 MG,prescription,N05AE04,ZIPRASIDONE,4506,,,WHO ATC Classification,,ILS,powder for solution for injection,ZIPRASIDONE MESYLATE TRIHYDRATE 40.93   MG,2025-07-31T03:32:27.577021,IL,דקסל פארמה,,485.8262383,411.7171694,350.397591,,7290008095341,GEODON 80MG 60CAPS,7602,,29828,VIAL GLASS TYPE I,units,60.0,125 75 30516 00,valid,17.5,i.m,1.4,36,,,,,,,,,,0,Prescription required,"Rapid control of agitation in patients with schizophrenia, when oral therapy is not appropriate, for a maximum of 3 consecutive days.", ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/00e0e537-f647-4904-b62c-89c1877a08fa.json
00e4b514-d2d0-476b-a8c4-9e487af07006,REMSIMA 100 MG I.V.,prescription,L04AB02,INFLIXIMAB,7887,,,WHO ATC Classification,,ILS,powder for concentrate for solution for infusion,INFLIXIMAB/VIAL,2025-07-31T07:24:54.272909,IL,פאדאגיס,,2305.677508,1953.96399,1776.3309,,7290012162299,REMSIMA 100 MG 1VIAL 20ML,18552,,52365,VIAL 20 ML GLASS TYPE I,units,1.0,154 60 34158 00,valid,10.0,i.v,1.4,60,,,,,,,,,,0,Prescription required,"* Rheumatoid arthritis:Remsima, in combination with methotrexate, is indicated for the reduction of signs and symptoms as well as the improvement in physical function in:• adult patients with active disease when the response to disease modifying antirheumatic drugs (DMARDs),including methotrexate, has been inadequate.• adult patients with severe, active and progressive disease not previously treated with methotrexate or other DMARDs.In these patient populations, a reduction in the rate of the progression of joint damage, as measured by X ray,has been demonstrated.* Ankylosing spondylitis:Remsima is indicated for treatment of severe, active ankylosing spondylitis, in adult patients who have responded inadequately to conventional therapy.* Psoriatic arthritis:Remsima is indicated for treatment of active and progressive psoriatic arthritis in adult patients when the response to previous DMARD therapy has been inadequate.* Remsima should be administered:• in combination with methotrexate• or alone in patients who show intolerance to methotrexate or for whom methotrexate is contraindicated.Infliximab has been shown to improve physical function in patients with psoriatic arthritis, and to reduce the rate of progression of peripheral joint damage as measured by X ray in patients with polyarticular symmetrical subtypes of the disease.* Psoriasis:Remsima is indicated for treatment of moderate to severe plaque psoriasis in adult patients who failed to respond to, or who have a contraindication to, or are intolerant to other systemic therapy including cyclosporine, methotrexate or psoralen ultra-violet A (PUVA)* Adult Crohn’s disease Remsima is indicated for treatment :•	of moderately to severely active Crohn’s disease, in adult patients who have not responded despite a full and adequate course of therapy with a corticosteroid and/or an immunosuppressant; or who are intolerant to or have medical contraindications for such therapies.•	treatment of fistulising, active Crohn’s disease, in adult patients who have not responded despite a full and adequate course of therapy with conventional treatment (including antibiotics, drainage and immunosuppressive therapy).* Ulcerative colitis•	Remsima is indicated for treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy including corticosteroids and 6 mercaptopurine (6 MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies.Paediatric Crohn’s diseaseRemsima is indicated for treatment of severe, active Crohn’s disease in children and adolescents aged 6 to 17 years, who have not responded to conventional therapy including a corticosteroid, an immunomodulator and primary nutrition therapy; or who are intolerant to or have contraindications for such therapies. Infliximab has been studied only in combination with conventional immunosuppressive therapy.Paediatric ulcerative colitisRemsima is indicated for treatment of severely active ulcerative colitis in children and adolescents aged 6 to 17 years, who have had an inadequate response to conventional therapy including corticosteroids and 6 MP or AZA, or who are intolerant to or have medical contraindications for such therapies.",תרופה מוגבלת לרישום ע'י רופא מומחה או הגבלה אחרת ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/00e4b514-d2d0-476b-a8c4-9e487af07006.json
00f17634-cbd2-4a16-b6c9-513d97cb471b,CHAMPIX 0.5 MG,prescription,N07BA03,VARENICLINE,6236,,,WHO ATC Classification,,ILS,film coated tablets,VARENICLINE AS TARTRATE 0.5  MG,2025-07-31T01:08:30.343653,IL,פיזר,,421.1269894,356.887295,303.7338681,,7290010355747,CHAMPIX 0.5MGX11TAB+1MGX42TAB,3910,,16666,BLISTER ACLAR/PVC/ALUMINIUM,units,53.0,137 66 31510 00,valid,17.5,per os,1.4,36,,,,,,,,,,0,Prescription required,Champix is indicated as an aid to smoking cessation treatment adults over 18 years of age.,תרופה מוגבלת לרישום ע'י רופא מומחה או הגבלה אחרת ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/00f17634-cbd2-4a16-b6c9-513d97cb471b.json
0109492b-c844-484b-acf3-b9fba9b9469b,PRILIDAN,off-the-counter,N01BB04,PRILOCAINE,5596,,,WHO ATC Classification,,ILS,cream,"PRILOCAINE/, LIDOCAINE/",2025-07-31T12:52:16.476911,IL,הלפרין מדיק,,100.654,85.3,nan,,729001971992,PRILIDAN CREAM 30 GR,,,,TUBE ALUMINIUM,units,30.0,157 87 34381 00,valid,nan,dermal,1.4,36,,,,,,,,,,0,,"Topical anaesthetic for superficial dermal analgesia in connection with insertion of IV catheters, blood sampling and superficial surgical procedures.",,https://github.com/FormidableCare/OpenMed/tree/main/catalog/0109492b-c844-484b-acf3-b9fba9b9469b.json
0112463d-9fd5-4198-9bb0-83050147383e,ALCOXIDINE,off-the-counter,D08AC02,CHLORHEXIDINE,5543,,,WHO ATC Classification,,ILS,solution - external,"ALCOHOLV/V, CHLORHEXIDINE GLUCONATE 0.5 %W/V",2025-07-31T11:11:29.824961,IL,ויטאמד,,52.474,44.47,nan,,7290008083089,ALCOXIDINE SOL 1 L,127244,,,BOTTLE HDPE,units,1000.0,116 50 28130 00,valid,nan,dermal,1.4,24,,,,,,,,,,0,,Disinfection of hands and skin,תרופה שאושרה לשימוש כללי בקופ'ח ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/0112463d-9fd5-4198-9bb0-83050147383e.json
01169ab9-e784-48da-b361-d46ef65e3975,PLEGRIDY 125,prescription,L03AB13,PEGINTERFERON BETA-1A,7632,,,WHO ATC Classification,,ILS,solution for injection,PEGINTERFERON BETA 1A/ 0.5  ML,2025-07-31T06:46:08.058639,IL,מדיסון,,2827.21893,2395.948352,2178.134865,,7290015666091,PLEGRIDY 125MCG/0.5ML 2 PRE FILLED PEN,16978,,4474,PRE-FILLED PEN GLASS TYPE I,units,2.0,155 04 34292 00,valid,10.0,s.c,1.4,36,,,,,,,,,,0,Prescription required,Plegridy is indicated in adult patients for the treatment of relapsing remitting multiple sclerosis,,https://github.com/FormidableCare/OpenMed/tree/main/catalog/01169ab9-e784-48da-b361-d46ef65e3975.json
0127fcf6-fc24-4e7a-9b12-e951ac83902a,DEPO MEDROL 40 MG/ML,prescription,H02AB04,METHYLPREDNISOLONE,8559,,,WHO ATC Classification,,ILS,suspension for injection,METHYLPREDNISOLONE ACETATE/ML,2025-07-31T05:18:20.188020,IL,דקסל פארמה,,1184.082369,1003.459635,854.0082,,72982006,METHYLPREDNISOLONE MYLAN 1 G 10 VIALS,13973,,59191,VIAL GLASS TYPE I,units,10.0,024 49 21841 00,valid,17.5,"periarticular, i.m, intra-articular, intra-lesional, intrabursal, intrarectal instillation, soft tissues",1.4,60,,,,,,,,,,0,Prescription required,For the treatment of conditions responsive to steroid injection therapy.,תרופה שאושרה לשימוש כללי בקופ'ח ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/0127fcf6-fc24-4e7a-9b12-e951ac83902a.json
0142df2e-b70a-46cf-b859-bcd422e65d24,ABIRATERONE - TRIMA 250 MG,prescription,L02BX03,ABIRATERONE,9389,,,WHO ATC Classification,,ILS,tablets,ABIRATERONE ACETATE,2025-07-30T23:10:11.230636,IL,תרימה,,17160.87617,14543.1154,13221.014,,7290016981414,ABIRATERONE - TRIMA 250 MG 120 TAB,23875,,15853,BOTTLE HDPE,units,120.0,172 37 37264 99,valid,10.0,per os,1.4,24,,,,,,,,,,0,Prescription required,Abiraterone Trima 250 mg is a CYP17 inhibitor indicated in combination with prednisone for the treatment of patients with metastatic castration-resistant prostate cancer. The treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT).,,https://github.com/FormidableCare/OpenMed/tree/main/catalog/0142df2e-b70a-46cf-b859-bcd422e65d24.json
0147373c-00eb-4c28-9060-3d5920f37145,SOLUVIT N,prescription,B03BB01,FOLIC ACID,8693,,,WHO ATC Classification,,ILS,powder for solution for infusion,"THIAMINE (VIT B1) MONONITRATE 3.1  MG/VIAL, RIBOFLAVINE 4.9  MG/VIAL, PYRIDOXINE (VIT B6) HYDROCHLORIDE 4.9  MG/VIAL, ASCORBIC ACID AS SODIUM/VIAL, BIOTIN/VIAL, FOLIC ACID 0.4  MG/VIAL, CYANOCOBALAMIN (VIT B12)/VIAL, PANTOTHENIC ACID AS SODIUM/VIAL, NICOTINAMIDE/VIAL",2025-07-31T08:29:08.516693,IL,ניאופרם,,280.993959,238.1304844,202.664242,,7-298120-013007,SOLUVIT N 10 amp,,,,VIAL GLASS TYPE I,units,10.0,102 29 26397 05,valid,17.5,i.v,1.4,18,,,,,,,,,,0,Prescription required,Supplement in intravenous nutrition in order to meet the daily requirments of water soluble vitamins.,תרופה אשפוזית לפי החלטת משרד הבריאות ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/0147373c-00eb-4c28-9060-3d5920f37145.json
01673163-c1ad-423a-9da4-9e5b9b575b4b,KALITRANS 2.5G 90 EFF.TAB,29C,,,20475,,,,,,tablet,KALITRANS 2.5G 90 EFF.TAB,2025-07-31T20:43:06.445951,IL,nan,,,,,,,KALITRANS 2.5G 90 EFF.TAB,,,,,units,90.0,,not-registered,,oral,1.4,,,,,,,,active,,,0,Available over-the-counter.,,,https://github.com/FormidableCare/OpenMed/tree/main/catalog/01673163-c1ad-423a-9da4-9e5b9b575b4b.json
0170222f-bd72-4b0c-bce9-d263aa400875,ABSTRAL 100 MCG,prescription,N01AH01,FENTANYL,9149,,,WHO ATC Classification,,ILS,tablets sublingual,FENTANYL AS CITRATE,2025-07-31T03:01:42.914078,IL,פארמהמדיס,,23.84485,20.2075,14.75,,,FENTANYL -PIRAMAL 0.05 MG/ML 5 amp 10ML,,,,BLISTER PVC/ALUMINIUM-ALUMINIUM,units,5.0,148 73 33262 01,valid,37.0,per os,1.4,24,,,,,,,,,,0,Prescription required,Management of breakthrough pain in adult patients using opioid therapy for chronic cancer pain. Breakthrough pain is a transient exacerbation of otherwise controlled chronic background pain.,תרופה מוגבלת לרישום ע'י רופא מומחה או הגבלה אחרת ,https://github.com/FormidableCare/OpenMed/tree/main/catalog/0170222f-bd72-4b0c-bce9-d263aa400875.json
